a & b & c						
0	0	0	0			
1	0	0	0			
0	1	0	0			
1	1	0	0			
0	0	1	0			
1	0	1	0			
0	1	1	0			
1	1	1	1			
						
a | b | c						
0	0	0	0			
1	0	0	1			
0	1	0	1			
1	1	0	1			
0	0	1	1			
1	0	1	1			
0	1	1	1			
1	1	1	1			
						
a | b & c						
0	0	0	0			
1	0	0	1			
0	1	0	0			
1	1	0	1			
0	0	1	0			
1	0	1	1			
0	1	1	1			
1	1	1	1			
						
(a | b) & c						
0	0	0	0			
1	0	0	0			
0	1	0	0			
1	1	0	0			
0	0	1	0			
1	0	1	1			
0	1	1	1			
1	1	1	1			
						
!a & a						
0	0					
1	0					
						
b | !b						
0	1					
1	1					
						
						
a & !b				 		
0	0	0				
1	0	1				
0	1	0				
1	1	0				
						
a | b!						
0	0	1				
1	0	1				
0	1	0				
1	1	1				
						
A & !B& C						
0	0	0	0			
1	0	0	0			
0	1	0	0			
1	1	0	0			
0	0	1	0			
1	0	1	1			
0	1	1	0			
1	1	1	0			
						
A |B |!C						
0	0	0	1			
1	0	0	1			
0	1	0	1			
1	1	0	1			
0	0	1	0			
1	0	1	1			
0	1	1	1			
1	1	1	1			
						
!A | !B & C 						
0	0	0	1			
1	0	0	0			
0	1	0	1			
1	1	0	0			
0	0	1	1			
1	0	1	1			
						
0	1	1	1			
1	1	1	0			
						
!A | !B & C | D						
a	b	c	d	!b & c		
0	0	0	0	0	1	
1	0	0	0	0	0	
0	1	0	0	0	1	
1	1	0	0	0	0	
0	0	1	0	1	1	
1	0	1	0	1	1	
0	1	1	0	0	1	
1	1	1	0	0	0	
0	0	0	1	0	1	
1	0	0	1	0	1	
0	1	0	1	0	1	
1	1	0	1	0	1	
0	0	1	1	1	1	
1	0	1	1	1	1	
0	1	1	1	0	1	
1	1	1	1	0	1	
						
(!A | !B) & (C | D)						
a	b	c	d	!a | !b 	c|d	
0	0	0	0	1	0	0
1	0	0	0	1	0	0
0	1	0	0	1	0	0
1	1	0	0	0	0	0
0	0	1	0	1	1	1
1	0	1	0	1	1	1
0	1	1	0	1	1	1
1	1	1	0	0	1	0
0	0	0	1	1	1	1
1	0	0	1	1	1	1
0	1	0	1	1	1	1
1	1	0	1	0	1	0
0	0	1	1	1	1	1
1	0	1	1	1	1	1
0	1	1	1	1	1	1
1	1	1	1	0	1	0
						
(A | B) & !(C | D)						
a	b	c	d	a | b	!(c| d)	
0	0	0	0	0	1	0
1	0	0	0	1	1	1
0	1	0	0	1	1	1
1	1	0	0	1	1	1
0	0	1	0	0	0	0
1	0	1	0	1	0	0
0	1	1	0	1	0	0
1	1	1	0	1	0	0
0	0	0	1	0	0	0
1	0	0	1	1	0	0
0	1	0	1	1	0	0
1	1	0	1	1	0	0
0	0	1	1	0	0	0
1	0	1	1	1	0	0
0	1	1	1	1	0	0
1	1	1	1	1	0	0
